Source,Target,Type,Weight
NZL,BRA,Direct,0.000149691779602584
PAK,BRA,Direct,9.04178534512254e-06
RUS,BRA,Direct,1.00464281612473e-05
USA,BRA,Direct,0.00162048886240918
NLD,BRA,Direct,5.62599977029847e-05
UZB,IDN,Direct,0.00779200968186338
CPR,IDN,Direct,0.0625058620908321
POL,IDN,Direct,0.00444755374698416
IND,IDN,Direct,0.0871186064430717
CAN,IDN,Direct,0.013789727294128
GBR,IDN,Direct,0.00178022707017301
NZL,IDN,Direct,1.14963688591911
PAK,IDN,Direct,0.00406679411967289
RUS,IDN,Direct,0.0542507120707352
BRA,IDN,Direct,0.00664470758584894
USA,IDN,Direct,0.000123571066383341
UZB,ZAF,Direct,0.00367799734983262
IND,ZAF,Direct,0.00185557528138237
CAN,ZAF,Direct,0.0108792770558147
NZL,ZAF,Direct,0.105137879993085
PAK,ZAF,Direct,0.000308425344550291
RUS,ZAF,Direct,0.00118346923739493
BRA,ZAF,Direct,0.0357914049672595
USA,ZAF,Direct,0.000986559245434481
UZB,IRN,Direct,0.20961972822724
CPR,IRN,Direct,0.00608512153726747
POL,IRN,Direct,0.181825280076334
IND,IRN,Direct,0.0275603663747496
CAN,IRN,Direct,0.151305235965281
GBR,IRN,Direct,0.00246740275640233
NZL,IRN,Direct,0.0189294799414221
PAK,IRN,Direct,0.0207689809377465
RUS,IRN,Direct,0.187188063428807
BRA,IRN,Direct,0.00785128360801473
USA,IRN,Direct,0.00251763489720856
NLD,IRN,Direct,0.000132612851728464
UZB,ITA,Direct,0.0111083356178911
POL,ITA,Direct,0.0638199348943232
IND,ITA,Direct,0.0169583707361854
CAN,ITA,Direct,0.112838467178681
GBR,ITA,Direct,0.0205067691627379
NZL,ITA,Direct,0.00390504662627681
PAK,ITA,Direct,0.000373727127598398
RUS,ITA,Direct,0.0322148765418555
BRA,ITA,Direct,0.0105417170695968
USA,ITA,Direct,0.372599918358706
NLD,ITA,Direct,0.274238354160383
CAN,USA,Direct,0.000549539620420225
NZL,USA,Direct,9.64457103479737e-05
UZB,NGA,Direct,0.00785731146491148
POL,NGA,Direct,0.0383693184334355
IND,NGA,Direct,0.0105246381417226
CAN,NGA,Direct,0.271549929984433
GBR,NGA,Direct,0.00415821661594024
NZL,NGA,Direct,0.0133728005254362
PAK,NGA,Direct,0.000303402130469667
RUS,NGA,Direct,0.0108782724129985
BRA,NGA,Direct,0.072380496330522
USA,NGA,Direct,0.112896736462016
NLD,NGA,Direct,0.0201109398931848
UZB,IRQ,Direct,0.0814453884604154
CPR,IRQ,Direct,0.0220127287441089
POL,IRQ,Direct,0.917009832559799
IND,IRQ,Direct,0.0644438180831367
CAN,IRQ,Direct,0.100706400531159
GBR,IRQ,Direct,0.00958228318019764
NZL,IRQ,Direct,0.0191424642184405
PAK,IRQ,Direct,0.0233247922619678
RUS,IRQ,Direct,0.201891011042793
BRA,IRQ,Direct,0.00926983926438285
USA,IRQ,Direct,0.19077262899674
NLD,IRQ,Direct,0.0190952460060827
UZB,NLD,Direct,0.00126484530550103
CPR,NLD,Direct,0.000232072490524812
POL,NLD,Direct,0.0044977858877904
IND,NLD,Direct,0.000648999259216573
CAN,NLD,Direct,0.00852338965200218
GBR,NLD,Direct,0.00246740275640233
NZL,NLD,Direct,0.000536479263810604
PAK,NLD,Direct,2.00928563224945e-05
RUS,NLD,Direct,0.00360666770988777
BRA,NLD,Direct,0.000589725333065214
USA,NLD,Direct,0.0104693827868358
