"run","tick","OriginOfConsumedResouces"
1,1.0,"Caribbean:Northern America|45516.52;South America|54498.24;Central Asia|16429.72;Eastern Europe|93640.0;Northern Europe|16078.68;Western Europe|71280.67;Oceania|23005.02;Russian Federation|137081.2;India|6749.45;Pakistan|48342.28;United States of America|88514.5;China|313036.36;"
1,2.0,"Pakistan:Northern America|44223.56;South America|11269.61;Central Asia|5739.46;Eastern Europe|44111.5;Northern Europe|5481.8;Western Europe|41457.68;Oceania|22991.71;Russian Federation|28871.4;India|3046.2;Pakistan|1013177.61;United States of America|57803.8;China|62353.03;"
1,2.0,"India:Northern America|29060.22;South America|9731.84;Central Asia|16626.28;Eastern Europe|37527.95;Northern Europe|17635.06;Western Europe|31694.29;Oceania|15498.14;Russian Federation|28520.8;India|4543162.4;Pakistan|9878.75;United States of America|43780.72;China|61598.62;"
1,2.0,"Western Europe:Northern America|30179.24;South America|12577.03;Central Asia|18892.36;Eastern Europe|65131.5;Northern Europe|20083.42;Western Europe|2746170.33;Oceania|16091.12;Russian Federation|32287.9;India|52381.28;Pakistan|11181.75;United States of America|45466.72;China|69690.35;"
1,2.0,"China:Northern America|287388.86;South America|11763.5;Central Asia|36688.2;Eastern Europe|286644.3;Northern Europe|35102.96;Western Europe|269403.99;Oceania|149404.02;Russian Federation|30133.54;India|14096.56;Pakistan|10435.84;United States of America|370984.24;China|6601783.16;"
1,2.0,"United States of America:Northern America|30198.26;South America|12753.28;Central Asia|19079.54;Eastern Europe|66600.4;Northern Europe|20260.53;Western Europe|50191.37;Oceania|16100.49;Russian Federation|32663.82;India|52819.36;Pakistan|11303.21;United States of America|2933252.12;China|70495.19;"
1,2.0,"Northern Africa:Northern America|222183.72;South America|8622.44;Central Asia|24105.96;Eastern Europe|176177.0;Northern Europe|23238.57;Western Europe|165580.9;Oceania|100397.2;Russian Federation|22081.88;India|12477.64;Pakistan|9500.17;United States of America|258349.68;China|47692.75;"
1,2.0,"Russian Federation:Northern America|417699.04;South America|11059.34;Central Asia|46834.68;Eastern Europe|366173.65;Northern Europe|44838.7;Western Europe|344144.47;Oceania|190856.73;Russian Federation|2885328.34;India|17605.28;Pakistan|9813.34;United States of America|536962.92;China|61189.66;"
1,2.0,"Western Africa:Northern America|29312.9;South America|7396.47;Central Asia|2967.38;Eastern Europe|23243.2;Northern Europe|2844.73;Western Europe|21846.22;Oceania|13246.0;Russian Federation|18941.94;India|2323.36;Pakistan|6560.7;United States of America|34086.24;China|40905.78;"
1,2.0,"South America:Northern America|47451.88;South America|1150433.39;Central Asia|6046.82;Eastern Europe|47333.35;Northern Europe|5875.82;Western Europe|44485.05;Oceania|24671.95;Russian Federation|29064.72;India|2798.64;Pakistan|10065.83;United States of America|60922.12;China|62774.31;"
1,2.0,"Northern Europe:Northern America|28140.68;South America|10783.4;Central Asia|16099.06;Eastern Europe|58729.0;Northern Europe|1465348.78;Western Europe|45590.97;Oceania|15004.51;Russian Federation|27619.1;India|44751.08;Pakistan|9564.79;United States of America|46567.04;China|59644.35;"
1,2.0,"Northern America:Northern America|790036.96;South America|10005.68;Central Asia|14939.22;Eastern Europe|54491.95;Northern Europe|17545.84;Western Europe|42297.25;Oceania|13920.58;Russian Federation|25621.88;India|46044.32;Pakistan|8873.09;United States of America|54490.08;China|55338.6;"
1,2.0,"Oceania:Northern America|24882.38;South America|9092.72;Central Asia|13577.42;Eastern Europe|49525.6;Northern Europe|14402.98;Western Europe|38448.11;Oceania|418192.0;Russian Federation|23288.14;India|40657.96;Pakistan|8064.82;United States of America|49528.6;China|50298.9;"
1,2.0,"Eastern Africa:Northern America|23891.58;South America|7287.89;Central Asia|2595.66;Eastern Europe|20304.85;Northern Europe|2483.2;Western Europe|19085.81;Oceania|13377.43;Russian Federation|18663.38;India|2030.24;Pakistan|6465.74;United States of America|29776.12;China|40313.37;"
1,2.0,"Middle Africa:Northern America|8570.94;South America|6511.43;Central Asia|933.2;Eastern Europe|7281.6;Northern Europe|892.53;Western Europe|6844.79;Oceania|4799.6;Russian Federation|16680.02;India|730.08;Pakistan|5777.09;United States of America|10680.08;China|36021.89;"
1,2.0,"Eastern Europe:Northern America|30921.7;South America|12621.88;Central Asia|19043.2;Eastern Europe|4139607.0;Northern Europe|20242.3;Western Europe|33725.8;Oceania|16490.44;Russian Federation|32492.52;India|52933.0;Pakistan|11252.26;United States of America|46590.04;China|70119.82;"
1,2.0,"Central Asia:Northern America|28068.18;South America|10753.9;Central Asia|1351027.5;Eastern Europe|58580.35;Northern Europe|17030.42;Western Europe|45472.57;Oceania|14965.05;Russian Federation|27548.16;India|44969.36;Pakistan|9541.34;United States of America|48327.28;China|59491.25;"
1,2.0,"Southern Europe:Northern America|54991.6;South America|7876.69;Central Asia|5569.78;Eastern Europe|43605.15;Northern Europe|5328.89;Western Europe|40982.06;Oceania|24850.88;Russian Federation|20170.12;India|4361.12;Pakistan|6987.92;United States of America|63942.64;China|43560.51;"
1,2.0,"Central America:Northern America|30029.9;South America|7416.82;Central Asia|3042.76;Eastern Europe|23810.7;Northern Europe|2911.38;Western Europe|22379.65;Oceania|13569.74;Russian Federation|18988.52;India|2381.12;Pakistan|6578.21;United States of America|34914.68;China|41012.16;"
