"run","tick","averagePrice","exchangedQuantity"
1,1.0,3.1125000000000003,4.134543636000001E7
1,2.0,4.645833333333333,4.140350253E7
1,3.0,4.640833333333331,4.140945358999999E7
1,4.0,4.631666666666666,4.153055689999999E7
1,5.0,4.6275,4.1377673559999995E7
1,6.0,4.619999999999999,4.153250196E7
1,7.0,4.613333333333332,4.148117070999999E7
1,8.0,4.608333333333333,4.1423918449999996E7
1,9.0,4.600833333333334,4.145328914E7
1,10.0,4.596666666666666,4.1375812470000006E7
1,11.0,4.59,4.141295983E7
1,12.0,4.5825000000000005,4.135908916E7
1,13.0,4.577500000000001,4.1387980169999994E7
1,14.0,4.569999999999999,4.135265868E7
1,15.0,4.5633333333333335,4.136051344E7
1,16.0,4.554166666666666,4.139436947E7
1,17.0,4.546666666666666,4.142468069E7
1,18.0,4.538333333333333,4.1329629089999996E7
1,19.0,4.5299999999999985,4.133681789E7
1,20.0,4.520833333333334,4.135872465E7
1,21.0,4.509166666666666,4.1428204660000004E7
1,22.0,4.501666666666667,4.1413749870000005E7
1,23.0,4.493333333333333,4.1244712330000006E7
1,24.0,4.4825,4.1283459629999995E7
1,25.0,4.473333333333333,4.135682704E7
1,26.0,4.461666666666667,4.138428231E7
1,27.0,4.4525,4.1265312660000004E7
1,28.0,4.440833333333334,4.1354858379999995E7
1,29.0,4.430000000000001,4.1335172720000006E7
1,30.0,4.4191666666666665,4.133131793999999E7
1,31.0,4.409166666666666,4.130265429000001E7
1,32.0,4.3975,4.128893624E7
1,33.0,4.384166666666667,4.1368147879999995E7
1,34.0,4.3725,4.1351832E7
1,35.0,4.359166666666666,4.132370024E7
1,36.0,4.345833333333333,4.1362387379999995E7
1,37.0,4.3308333333333335,4.134399063999999E7
1,38.0,4.317499999999999,4.1331388230000004E7
1,39.0,4.303333333333333,4.1264380010000005E7
1,40.0,4.290833333333333,4.121785446E7
1,41.0,4.274166666666667,4.135055636E7
1,42.0,4.26,4.130923983E7
1,43.0,4.246666666666667,4.126616673E7
1,44.0,4.230833333333333,4.133976613999999E7
1,45.0,4.215,4.128869560000001E7
1,46.0,4.199166666666667,4.133842564E7
1,47.0,4.184166666666666,4.125891554000001E7
1,48.0,4.1675,4.1305074160000004E7
1,49.0,4.151666666666666,4.1263258779999994E7
1,50.0,4.134166666666666,4.127405225E7
1,51.0,4.116666666666667,4.1275809800000004E7
1,52.0,4.099166666666667,4.125473755E7
1,53.0,4.079166666666667,4.131781278E7
1,54.0,4.058333333333333,4.127469965E7
1,55.0,4.039166666666667,4.1214757050000004E7
1,56.0,4.0175,4.128165889E7
1,57.0,3.9958333333333327,4.125345219E7
1,58.0,3.9724999999999997,4.124190374E7
1,59.0,3.951666666666667,4.123767441E7
1,60.0,3.925,4.123868397E7
1,61.0,3.901666666666667,4.1240431989999995E7
1,62.0,3.8741666666666665,4.121776247E7
1,63.0,3.8466666666666667,4.124093464E7
1,64.0,3.8166666666666664,4.1241923230000004E7
1,65.0,3.788333333333333,4.12379015E7
1,66.0,3.756666666666667,4.12041028E7
1,67.0,3.724166666666667,4.121000232E7
1,68.0,3.6908333333333334,4.120385752000001E7
1,69.0,3.6550000000000002,4.122381755E7
1,70.0,3.615833333333333,4.122469356E7
1,71.0,3.5791666666666666,4.118379826E7
1,72.0,3.5375,4.119499584E7
1,73.0,3.4949999999999997,4.123563081E7
1,74.0,3.4508333333333336,4.120043735E7
1,75.0,3.3966666666666665,4.11985484E7
1,76.0,3.3491666666666666,4.124310197E7
1,77.0,3.2925,4.118884022E7
1,78.0,3.2408333333333332,4.115627167999999E7
1,79.0,3.1725000000000003,4.119731904E7
1,80.0,3.1149999999999998,4.116383614E7
1,81.0,3.0366666666666666,4.115766156E7
1,82.0,2.9716666666666667,4.118027166E7
1,83.0,2.899166666666667,4.115009961E7
1,84.0,2.810833333333333,4.1163187330000006E7
1,85.0,2.725833333333333,4.114217741E7
1,86.0,2.6350000000000002,4.117589166E7
1,87.0,2.503333333333333,4.114667227E7
1,88.0,2.3691666666666666,4.115934013999999E7
1,89.0,2.2475,4.115898756E7
1,90.0,2.1266666666666665,4.115827373E7
1,91.0,1.9933333333333334,4.115402411E7
1,92.0,1.8549999999999998,4.114497454000001E7
1,93.0,1.6720833333333334,4.1018621739999995E7
1,94.0,1.5054166666666666,4.111466692E7
1,95.0,1.3833333333333333,4.040575312E7
1,96.0,1.4083333333333334,3.8817132230000004E7
1,97.0,1.4133333333333333,3.8051187449999996E7
1,98.0,1.4120833333333334,3.813518297E7
1,99.0,1.4129166666666668,3.80944251E7
1,100.0,1.4120833333333331,3.820718337E7
1,101.0,1.4124999999999999,3.811900902E7
1,102.0,1.4166666666666665,3.822609053E7
1,103.0,1.4016666666666666,3.8289122989999995E7
1,104.0,1.4091666666666665,3.8234727120000005E7
1,105.0,1.40625,3.811835167999999E7
1,106.0,1.4395833333333334,3.8060403160000004E7
1,107.0,1.4279166666666665,3.818313486000001E7
1,108.0,1.4220833333333331,3.8149803550000004E7
1,109.0,1.4129166666666668,3.8238058559999995E7
1,110.0,1.4345833333333333,3.807224506E7
1,111.0,1.4516666666666667,3.796687286E7
1,112.0,1.4420833333333334,3.8090517309999995E7
1,113.0,1.4454166666666666,3.8137945699999996E7
1,114.0,1.4458333333333333,3.809602514E7
