"run","tick","averagePrice","exchangedQuantity"
1,1.0,3.1125000000000003,4.1345436360000014E7
1,2.0,4.645833333333333,4.1403502529999994E7
1,3.0,4.640833333333333,4.1409453589999996E7
1,4.0,4.631666666666668,4.153055689999999E7
1,5.0,4.6275,4.1377673559999995E7
1,6.0,4.62,4.153250196E7
1,7.0,4.613333333333332,4.148117071E7
1,8.0,4.608333333333333,4.1423918449999996E7
1,9.0,4.600833333333333,4.145328914E7
1,10.0,4.596666666666667,4.137581247E7
1,11.0,4.590000000000001,4.141295983E7
1,12.0,4.5825000000000005,4.135908916E7
1,13.0,4.577499999999999,4.1387980169999994E7
1,14.0,4.57,4.135265868E7
1,15.0,4.563333333333334,4.136051344E7
1,16.0,4.554166666666667,4.139436947E7
1,17.0,4.546666666666667,4.1424680690000005E7
1,18.0,4.538333333333333,4.1329629089999996E7
1,19.0,4.53,4.133681789E7
1,20.0,4.520833333333333,4.1358724650000006E7
1,21.0,4.509166666666666,4.142820466E7
1,22.0,4.501666666666667,4.1413749870000005E7
1,23.0,4.493333333333333,4.1244712330000006E7
1,24.0,4.4825,4.1283459629999995E7
1,25.0,4.473333333333333,4.135682704E7
1,26.0,4.461666666666667,4.138428231E7
1,27.0,4.4525,4.126531266E7
1,28.0,4.440833333333334,4.135485838E7
1,29.0,4.430000000000001,4.1335172720000006E7
1,30.0,4.419166666666666,4.133131793999999E7
1,31.0,4.409166666666667,4.130265429E7
1,32.0,4.3975,4.1288936239999995E7
1,33.0,4.384166666666666,4.1368147879999995E7
1,34.0,4.3725,4.1351832E7
1,35.0,4.359166666666667,4.132370024E7
1,36.0,4.345833333333332,4.136238738E7
1,37.0,4.3308333333333335,4.134399064000001E7
1,38.0,4.317500000000001,4.1331388230000004E7
1,39.0,4.303333333333334,4.126438001E7
1,40.0,4.2908333333333335,4.121785445999999E7
1,41.0,4.274166666666667,4.135055635999999E7
1,42.0,4.26,4.130923983E7
1,43.0,4.246666666666667,4.126616673E7
1,44.0,4.230833333333334,4.133976614E7
1,45.0,4.215,4.1288695599999994E7
1,46.0,4.199166666666667,4.133842563999999E7
1,47.0,4.184166666666667,4.125891554E7
1,48.0,4.1674999999999995,4.1305074160000004E7
1,49.0,4.151666666666666,4.1263258779999994E7
1,50.0,4.134166666666667,4.127405224999999E7
1,51.0,4.116666666666667,4.12758098E7
1,52.0,4.099166666666667,4.1254737550000004E7
1,53.0,4.079166666666667,4.131781278E7
1,54.0,4.058333333333333,4.127469965E7
1,55.0,4.0391666666666675,4.121475705E7
1,56.0,4.0175,4.128165888999999E7
1,57.0,3.9958333333333336,4.125345219E7
1,58.0,3.9725000000000006,4.1241903739999995E7
1,59.0,3.951666666666667,4.1237674410000004E7
1,60.0,3.9250000000000003,4.123868397E7
1,61.0,3.901666666666667,4.124043199E7
1,62.0,3.8741666666666665,4.121776247E7
1,63.0,3.8466666666666667,4.1240934639999986E7
1,64.0,3.816666666666667,4.1241923230000004E7
1,65.0,3.788333333333333,4.12379015E7
1,66.0,3.756666666666667,4.12041028E7
1,67.0,3.7241666666666666,4.121000232000001E7
1,68.0,3.6908333333333334,4.1203857519999996E7
1,69.0,3.655,4.122381755E7
1,70.0,3.6158333333333332,4.122469356000001E7
1,71.0,3.5791666666666666,4.118379826E7
1,72.0,3.5375,4.119499583999999E7
1,73.0,3.4950000000000006,4.1235630809999995E7
1,74.0,3.4508333333333336,4.120043735000001E7
1,75.0,3.396666666666667,4.11985484E7
1,76.0,3.3491666666666666,4.124310197E7
1,77.0,3.2925,4.1188840220000006E7
1,78.0,3.2408333333333337,4.115627167999999E7
1,79.0,3.1725000000000008,4.119731903999999E7
1,80.0,3.115,4.116383614000001E7
1,81.0,3.036666666666666,4.1157661559999995E7
1,82.0,2.9716666666666667,4.1180271660000004E7
1,83.0,2.899166666666667,4.115009961E7
1,84.0,2.810833333333333,4.116318732999999E7
1,85.0,2.725833333333334,4.1142177410000004E7
1,86.0,2.6350000000000002,4.117589166E7
1,87.0,2.5033333333333334,4.114667227E7
1,88.0,2.369166666666667,4.115934014E7
1,89.0,2.2475000000000005,4.115898756E7
1,90.0,2.1266666666666665,4.1158273730000004E7
1,91.0,1.9933333333333332,4.115402411E7
1,92.0,1.8550000000000002,4.114497454E7
1,93.0,1.6720833333333331,4.101862174E7
1,94.0,1.5054166666666664,4.111466692E7
1,95.0,1.3833333333333333,4.040575312000001E7
1,96.0,1.4083333333333334,3.881713222999999E7
1,97.0,1.4133333333333333,3.805118744999999E7
1,98.0,1.4120833333333334,3.8135182970000006E7
1,99.0,1.4129166666666666,3.8094425099999994E7
1,100.0,1.4120833333333331,3.820718337E7
1,101.0,1.4125,3.811900902E7
1,102.0,1.4166666666666667,3.822609053000001E7
1,103.0,1.4016666666666668,3.8289122989999995E7
1,104.0,1.4091666666666665,3.8234727120000005E7
1,105.0,1.40625,3.811835168000001E7
1,106.0,1.4395833333333332,3.806040316E7
1,107.0,1.4279166666666667,3.818313486000001E7
1,108.0,1.4220833333333334,3.8149803550000004E7
1,109.0,1.4129166666666664,3.8238058559999995E7
1,110.0,1.434583333333333,3.807224506E7
1,111.0,1.4516666666666667,3.796687286E7
1,112.0,1.4420833333333334,3.8090517309999995E7
1,113.0,1.4454166666666666,3.8137945699999996E7
1,114.0,1.4458333333333333,3.809602514000001E7
1,115.0,1.44125,3.833589484E7
1,116.0,1.4270833333333333,3.823263429E7
1,117.0,1.4475000000000002,3.825840099E7
1,118.0,1.4237499999999998,3.831330057E7
1,119.0,1.4225,3.831193843E7
1,120.0,1.4125,3.8321509620000005E7
1,121.0,1.4112500000000001,3.8299717339999996E7
1,122.0,1.39,3.828135213999999E7
1,123.0,1.4208333333333334,3.8143076800000004E7
1,124.0,1.40375,3.821152456999999E7
1,125.0,1.3966666666666665,3.823515627000001E7
1,126.0,1.3891666666666664,3.8201311870000005E7
1,127.0,1.4258333333333335,3.772360444E7
1,128.0,1.4224999999999999,3.7874439580000006E7
1,129.0,1.4533333333333334,3.7628363940000005E7
1,130.0,1.4675,3.781460829000001E7
1,131.0,1.475,3.804152832999999E7
1,132.0,1.4812499999999997,3.819067632000001E7
1,133.0,1.46875,3.8244740599999994E7
1,134.0,1.4658333333333333,3.849213368E7
1,135.0,1.4375,3.850978735000001E7
1,136.0,1.4283333333333335,3.854353862E7
1,137.0,1.4120833333333334,3.8433562660000004E7
1,138.0,1.4,3.852148144E7
